Registration State,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Issuer Code,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Date First Observed,Law Section,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Unregistered Vehicle?,Vehicle Year,Feet From Curb,Vehicle Color,Issuing Agency
NY,2015-06-12,20,SDN,MITSU,2016.25,109.0,361025.0,13.67,,QN,F,152-35,'10th Ave',,SEC-408,,YYYYYYY,,,,2002.0,0,Gray-Silver,T
NY,2016-12-07,21,SDN,FORD,2018.23,108.0,363928.0,11.6,,QN,F,39-29,'45th St',,SEC-408,,Y,11.5,13.0,,2005.0,0,Gray-Silver,T
NY,2014-10-18,38,SDN,TOYOT,2015.67,9.0,361279.0,18.57,,NYC,F,21,'1st Ave',,SEC-408,,Y,8.5,19.0,,2014.0,0,Gray-Silver,T
NY,2015-05-29,14,VAN,FORD,2017.34,78.0,361373.0,14.17,,KG,F,357,'9th St',,SEC-408,,YYYYYYY,,,,2008.0,0,Gray-Silver,T
NY,2016-12-15,37,PICK,TOYOT,2018.91,62.0,358949.0,11.72,11.55,KG,F,1782,'68th St',,SEC-408,,Y,8.5,19.0,,2012.0,0,Gray-Silver,T
NY,2014-10-28,20,SUBN,ACURA,2015.42,109.0,358891.0,13.07,,QN,O,150-06,'12th Rd',,SEC-408,,Y,8.0,18.0,,2009.0,0,Gray-Silver,T
NY,2014-08-07,14,SDN,ACURA,,108.0,331965.0,14.9,,QN,I,S,'Barnett Ave',,SEC-408,,YYYYY,6.0,18.0,,2005.0,0,Gray-Silver,T
NY,2014-09-24,38,SDN,Others,,114.0,341919.0,12.12,,QN,F,35-28,'31st St',,SEC-408,,Y,9.0,19.0,,,0,Gray-Silver,T
NJ,2017-05-21,20,SDN,HONDA,,67.0,357116.0,5.5,,KG,F,3917,'Church Ave',,SEC-408,,YYYYYYY,,,,,0,Gray-Silver,T
NY,2014-11-28,21,SUBN,NISSA,2016.0,90.0,347607.0,8.83,,KG,F,282,'Humboldt St',,SEC-408,,'Y  Y',8.5,10.0,,2012.0,0,Gray-Silver,T
NY,2014-12-08,19,SUBN,HONDA,2016.25,90.0,357758.0,8.5,,KG,F,403,Broadway,,SEC-408,,YYYYYYY,,,,2001.0,0,Gray-Silver,T
NY,2014-07-16,71,SUBN,FORD,2015.0,108.0,358121.0,17.0,,QN,F,5-44,'47th Ave',,SEC-408,,YYYYYYY,,,,,0,Gray-Silver,T
NY,2016-08-12,21,SUBN,MAZDA,2016.79,46.0,345239.0,0.47,,BX,F,1888,'Jerome Ave',,SEC-408,,'Y  Y',,3.0,,2008.0,0,Gray-Silver,T
NY,2017-01-06,70,SDN,HONDA,2017.0,44.0,364872.0,10.53,,BX,F,1355,'Grand Concourse',,SEC-408,,YYYYYYY,,,,2004.0,0,Gray-Silver,T
