Registration State,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Issuer Code,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Date First Observed,Law Section,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Unregistered Vehicle?,Vehicle Year,Feet From Curb,Vehicle Color,Issuing Agency
NY,2015-06-28,71,SUBN,FORD,2016.27,40.0,953708.0,2.82,,,F,,'JACKSON AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2015-06-16,71,SDN,ACURA,2017.28,113.0,949157.0,9.23,,QN,F,,'128 AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2002.0,0,Gray-Silver,X
NY,2013-07-21,46,SUBN,TOYOT,2014.42,40.0,927885.0,14.23,,BX,F,231,'JACKSON AVENUE',,SEC-408,,BBBBBBB,ALL,ALL,O,2012.0,0,Gray-Silver,X
NY,2015-07-04,24,SUBN,JEEP,2016.61,100.0,401.0,15.83,,QN,,,'FORT TILDEN',,SEC-408,,BBBBBBB,ALL,ALL,O,1988.0,0,Gray-Silver,X
NY,2014-06-14,16,TAXI,LINCO,2014.67,70.0,923878.0,16.83,,,O,2244,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,Gray-Silver,X
NY,2015-07-09,40,SDN,ACURA,2017.45,110.0,934783.0,0.92,,QN,O,49-28,'106 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2005.0,0,Gray-Silver,X
NY,2015-06-19,24,SUBN,LINCO,2017.08,47.0,942754.0,13.5,,BX,F,3475,'BIVONA ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,Gray-Silver,X
NY,2015-07-07,67,SDN,BMW,2017.14,75.0,939715.0,13.27,,KG,F,655,'GLENMORE AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2008.0,0,Gray-Silver,X
NJ,2015-07-08,38,SDN,NISSA,,84.0,353983.0,9.38,,KG,F,72,'FRONT ST',,SEC-408,,YYYYYYB,9.0,19.0,O,,0,Gray-Silver,X
NY,2013-08-22,21,SDN,DODGE,2014.33,43.0,944250.0,4.17,,BX,O,1590,'E 172 ST',,SEC-408,,YBBYBBB,8.5,10.0,O,2010.0,0,Gray-Silver,X
NY,2015-06-19,50,SDN,CHEVR,2015.52,106.0,934525.0,8.7,,QN,F,76-20,'LIBERTY AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2013-07-28,71,SDN,CHEVR,2015.33,108.0,,2.25,,QN,O,39-75,'62ND ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2003.0,0,Gray-Silver,X
NY,2015-07-20,21,SDN,BMW,2017.32,115.0,333060.0,8.65,,QN,O,35-15,'89 ST',,SEC-408,,YBBBBBB,8.5,10.0,O,2015.0,0,Gray-Silver,X
CT,2013-07-21,20,SDN,NISSA,,18.0,331652.0,1.2,,NYC,F,308,'W 46TH ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
GA,2015-07-12,46,SUBN,GMC,,70.0,932143.0,16.17,,KG,F,1009,'FOSTER AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2015-06-17,98,SDN,HONDA,2016.25,121.0,928191.0,22.67,,RC,F,221,'BRAUSTED AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2012.0,0,Gray-Silver,X
NY,2015-07-14,40,SDN,TOYOT,2015.85,76.0,333254.0,15.5,,KG,F,223,'CONGRESS ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,Gray-Silver,X
NY,2013-07-16,21,SUBN,TOYOT,2015.06,78.0,934825.0,9.25,,KG,O,326,'6 AVE',,SEC-408,,BYBBBBB,9.0,,O,2012.0,0,Gray-Silver,X
NY,2015-07-06,21,SDN,TOYOT,2016.84,114.0,612325.0,11.73,,QN,O,32-49,'56TH ST',,SEC-408,,YBBBBBB,11.5,13.0,O,2012.0,0,Gray-Silver,X
NY,2015-06-23,71,SDN,BMW,2017.2,75.0,948781.0,10.33,,KG,F,484,'LOGAN ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0,Gray-Silver,X
NY,2014-08-22,50,SDN,BMW,2015.84,109.0,932677.0,19.17,,QN,O,9-42,'130 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2013.0,0,Gray-Silver,X
NY,2015-06-19,24,SDN,FORD,2016.81,100.0,401.0,14.12,,QN,,,'FORT TILDEN T-4 PKG',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NJ,2015-06-26,21,SDN,Others,,13.0,111105.0,11.25,,NYC,F,442,'EAST 20TH STREET',,SEC-408,,BBBBYBB,11.0,14.0,O,,0,Gray-Silver,X
NY,2015-07-19,14,SUBN,BMW,2015.84,45.0,948391.0,21.13,,BX,F,1,'CRIMI RD',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,Gray-Silver,X
NY,2015-07-08,50,SDN,HONDA,2017.12,5.0,330152.0,11.17,,NYC,,,'LAFAYETTE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,2015.0,0,Gray-Silver,X
NY,2015-07-09,21,SDN,HONDA,2015.77,90.0,359310.0,11.7,,KG,F,133,'RODNEY ST',,SEC-408,,YBBYBBB,11.5,13.0,O,2013.0,0,Gray-Silver,X
NY,2015-06-26,14,SDN,LINCO,2016.16,103.0,955960.0,14.17,,QN,O,,'SUTPHIN BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,2004.0,0,Gray-Silver,X
PA,2015-07-09,21,SDN,BMW,,83.0,349496.0,9.2,,KG,F,113,'STOCKHOLM ST',,SEC-408,,YBBYBBB,9.0,10.5,O,,0,Gray-Silver,X
NY,2013-07-08,20,SDN,NISSA,2013.59,49.0,100470.0,15.25,,,F,1400,'PELHAM PKWY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,2010.0,0,Gray-Silver,X
NY,2014-08-29,46,SUBN,VOLVO,2015.92,77.0,954401.0,18.87,,KG,O,1535,'STERLING PL',,SEC-408,,BBBBBBB,ALL,ALL,O,2006.0,0,Gray-Silver,X
NY,2015-07-19,20,,NISSA,2016.81,45.0,948341.0,20.9,,BX,O,,'WILKINSON AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,2011.0,0,Gray-Silver,X
