Registration State,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Issuer Code,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Date First Observed,Law Section,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Unregistered Vehicle?,Vehicle Year,Feet From Curb,Vehicle Color,Issuing Agency
NY,2015-06-28,0.6767676767676768,SUBN,FORD,0.0032523700781952446,0.2826086956521739,0.9582894514700089,0.11774530271398748,,,F,,'JACKSON AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
NY,2015-06-16,0.6767676767676768,SDN,ACURA,0.0037515940567632087,0.8115942028985508,0.9537160233786489,0.3853862212943633,,QN,F,,'128 AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.010638297872340425,0.0,Gray-Silver,X
NY,2013-07-21,0.42424242424242425,SUBN,TOYOT,0.0023379499194321786,0.2826086956521739,0.9323391913945991,0.5941544885177453,,BX,F,231,'JACKSON AVENUE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.015473887814313346,0.0,Gray-Silver,X
NY,2015-07-04,0.20202020202020202,SUBN,JEEP,0.0034204256749408566,0.717391304347826,0.0002843946714688834,0.6609603340292276,,QN,,,'FORT TILDEN',,SEC-408,,BBBBBBB,ALL,ALL,O,0.0038684719535783366,0.0,Gray-Silver,X
NY,2014-06-14,0.12121212121212122,TAXI,LINCO,0.0024615202111569236,0.5,0.9283124442264867,0.7027139874739039,,,O,2244,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,0.012088974854932301,0.0,Gray-Silver,X
NY,2015-07-09,0.36363636363636365,SDN,ACURA,0.003835621855136071,0.7898550724637681,0.9392711858956322,0.0384133611691023,,QN,O,49-28,'106 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012088974854932301,0.0,Gray-Silver,X
NY,2015-06-19,0.20202020202020202,SUBN,LINCO,0.00365273782338339,0.3333333333333333,0.9472814683206444,0.5636743215031316,,BX,F,3475,'BIVONA ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.01160541586073501,0.0,Gray-Silver,X
NY,2015-07-07,0.6363636363636364,SDN,BMW,0.0036823946933974144,0.5362318840579711,0.9442274916188991,0.554070981210856,,KG,F,655,'GLENMORE AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.013539651837524178,0.0,Gray-Silver,X
NJ,2015-07-08,0.3434343434343434,SDN,NISSA,,0.6014492753623188,0.35560890607539375,0.39164926931106475,,KG,F,72,'FRONT ST',,SEC-408,,YYYYYYB,9.0,19.0,O,,0.0,Gray-Silver,X
NY,2013-08-22,0.1717171717171717,SDN,DODGE,0.002293464614411199,0.30434782608695654,0.9487848408595754,0.17411273486430062,,BX,O,1590,'E 172 ST',,SEC-408,,YBBYBBB,8.5,10.0,O,0.014506769825918761,0.0,Gray-Silver,X
NY,2015-06-19,0.46464646464646464,SDN,CHEVR,0.0028816592030210105,0.7608695652173914,0.9390119144283566,0.36325678496868474,,QN,F,76-20,'LIBERTY AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
NY,2013-07-28,0.6767676767676768,SDN,CHEVR,0.0027877457813101775,0.7753623188405797,,0.09394572025052192,,QN,O,39-75,'62ND ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.011121856866537718,0.0,Gray-Silver,X
NY,2015-07-20,0.1717171717171717,SDN,BMW,0.0037713653034391497,0.8260869565217391,0.3345827940218833,0.36116910229645094,,QN,O,35-15,'89 ST',,SEC-408,,YBBBBBB,8.5,10.0,O,0.016924564796905222,0.0,Gray-Silver,X
CT,2013-07-21,0.16161616161616163,SDN,NISSA,,0.12318840579710146,0.33316785516171304,0.05010438413361169,,NYC,F,308,'W 46TH ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
GA,2015-07-12,0.42424242424242425,SUBN,GMC,,0.5,0.9366181755328129,0.6751565762004176,,KG,F,1009,'FOSTER AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2015-06-17,0.9494949494949495,SDN,HONDA,0.0032424844548572737,0.8695652173913043,0.9326466994139259,0.9465553235908143,,RC,F,221,'BRAUSTED AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.015473887814313346,0.0,Gray-Silver,X
NY,2015-07-14,0.36363636363636365,SDN,TOYOT,0.0030447719880976375,0.5434782608695652,0.3347777500864238,0.6471816283924844,,KG,F,223,'CONGRESS ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.01160541586073501,0.0,Gray-Silver,X
NY,2013-07-16,0.1717171717171717,SUBN,TOYOT,0.002654289866247462,0.5579710144927537,0.939313392878677,0.3862212943632568,,KG,O,326,'6 AVE',,SEC-408,,BYBBBBB,9.0,,O,0.015473887814313346,0.0,Gray-Silver,X
NY,2015-07-06,0.1717171717171717,SDN,TOYOT,0.003534110343327631,0.8188405797101449,0.6152240587842781,0.4897703549060543,,QN,O,32-49,'56TH ST',,SEC-408,,YBBBBBB,11.5,13.0,O,0.015473887814313346,0.0,Gray-Silver,X
NY,2015-06-23,0.6767676767676768,SDN,BMW,0.0037120515634113263,0.5362318840579711,0.9533381703875807,0.4313152400835073,,KG,F,484,'LOGAN ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2014-08-22,0.46464646464646464,SDN,BMW,0.003039829176428652,0.782608695652174,0.9371548071743832,0.8004175365344468,,QN,O,9-42,'130 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.015957446808510637,0.0,Gray-Silver,X
NY,2015-06-19,0.20202020202020202,SDN,FORD,0.003519281908320675,0.717391304347826,0.0002843946714688834,0.5895615866388308,,QN,,,'FORT TILDEN T-4 PKG',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
NJ,2015-06-26,0.1717171717171717,SDN,Others,,0.08695652173913043,0.11153396255235676,0.4697286012526096,,NYC,F,442,'EAST 20TH STREET',,SEC-408,,BBBBYBB,11.0,14.0,O,,0.0,Gray-Silver,X
NY,2015-07-19,0.10101010101010101,SUBN,BMW,0.003039829176428652,0.3188405797101449,0.9529462484021642,0.8822546972860125,,BX,F,1,'CRIMI RD',,SEC-408,,BBBBBBB,ALL,ALL,O,0.014990328820116054,0.0,Gray-Silver,X
NY,2015-07-08,0.46464646464646464,SDN,HONDA,0.0036725090700593316,0.028985507246376812,0.3316604629101112,0.4663883089770355,,NYC,,,'LAFAYETTE ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.016924564796905222,0.0,Gray-Silver,X
NY,2015-07-09,0.1717171717171717,SDN,HONDA,0.003005229494745755,0.644927536231884,0.3609621584249158,0.48851774530271397,,KG,F,133,'RODNEY ST',,SEC-408,,YBBYBBB,11.5,13.0,O,0.015957446808510637,0.0,Gray-Silver,X
NY,2015-06-26,0.10101010101010101,SDN,LINCO,0.0031979991498364063,0.7391304347826086,0.9605525497037471,0.5916492693110648,,QN,O,,'SUTPHIN BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,0.01160541586073501,0.0,Gray-Silver,X
PA,2015-07-09,0.1717171717171717,SDN,BMW,,0.5942028985507246,0.3510997933867687,0.38413361169102295,,KG,F,113,'STOCKHOLM ST',,SEC-408,,YBBYBBB,9.0,10.5,O,,0.0,Gray-Silver,X
NY,2013-07-08,0.16161616161616163,SDN,NISSA,0.0019276965509059498,0.34782608695652173,0.10084655148849961,0.6367432150313153,,,F,1400,'PELHAM PKWY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,0.014506769825918761,0.0,Gray-Silver,X
NY,2014-08-29,0.42424242424242425,SUBN,VOLVO,0.0030793716697806468,0.5507246376811594,0.958985866690249,0.7878914405010439,,KG,O,1535,'STERLING PL',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
NY,2015-07-19,0.16161616161616163,,NISSA,0.003519281908320675,0.3188405797101449,0.9528960019937774,0.872651356993737,,BX,O,,'WILKINSON AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,0.014990328820116054,0.0,Gray-Silver,X
NJ,2013-07-26,0.10101010101010101,SDN,INFIN,,0.8043478260869565,0.9443330090765112,0.32025052192066805,,QN,O,71-00,'YELLOWSTONE BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,0.01160541586073501,0.0,Gray-Silver,X
PA,2013-07-20,0.12121212121212122,SDN,FORD,,0.12318840579710146,0.34773428895302566,0.7336116910229645,,NYC,F,548,'W 48 ST',,SEC-408,,YYYYYYB,8.0,19.0,O,,0.0,Gray-Silver,X
NJ,2015-07-13,0.15151515151515152,SDN,CHEVR,,0.5072463768115942,0.9395465362135914,,,KG,F,477,'NEW YORK AVE',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2015-06-16,0.16161616161616163,SUBN,LEXUS,0.0028668307680140546,0.782608695652174,0.0022831967970929437,0.19498956158663883,,QN,,,'BROADWAY STATION',,SEC-408,,BBBBBBB,3.0,5.0,O,0.01402321083172147,0.0,Gray-Silver,X
99,2015-06-26,0.36363636363636365,SUBN,MERCU,0.0031584566564844116,0.4782608695652174,0.9582944761108476,0.9987473903966598,,KG,F,164,'LINDEN BLVD',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2015-07-03,0.42424242424242425,VAN,DODGE,0.0038603359134809973,0.3333333333333333,0.9603807069870646,0.9444676409185805,,BX,F,3764,'WHITE PLAINS RD',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
NY,2015-06-04,0.16161616161616163,SUBN,TOYOT,,0.4782608695652174,0.96012545523246,0.8171189979123173,,KG,F,868,'WINTHROP ST',,SEC-408,,BBBBBBB,ALL,ALL,O,0.011121856866537718,0.0,Gray-Silver,X
PA,2015-06-25,0.20202020202020202,P-U,DODGE,0.003118914163132529,0.8768115942028986,0.000271330605288334,0.5427974947807933,,RC,,,'GREAT KILLS PARK',,SEC-408,,BBBBBBB,ALL,ALL,O,0.012572533849129593,0.0,Gray-Silver,X
99,2013-07-29,0.5252525252525253,SDN,BMW,0.0019474677975820035,0.34782608695652173,0.10084655148849961,0.401670146137787,,BX,F,1400,'PELHAM PKWY',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2013-07-14,0.42424242424242425,SDN,BMW,0.0027531460996272805,0.21014492753623187,0.6029488612154004,0.6296450939457203,,NYC,O,3536,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,0.015473887814313346,0.0,Gray-Silver,X
NJ,2015-05-31,0.16161616161616163,SDN,NISSA,,0.2246376811594203,0.9473578428613922,0.8350730688935282,,NYC,F,158,'W 128 ST',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NY,2013-07-30,0.13131313131313133,SUBN,FORD,0.0022539221210593164,0.7898550724637681,0.5494273919300249,0.5878914405010439,,QN,F,79-01,BROADWAY,,SEC-408,,BBBBBBB,ALL,ALL,O,0.013539651837524178,0.0,Gray-Silver,X
NJ,2013-07-08,0.20202020202020202,SDN,HONDA,,0.34782608695652173,0.10084655148849961,0.44050104384133615,,BX,F,1400,'PELHAM PKWY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
NJ,2013-07-22,0.494949494949495,SUBN,HONDA,,0.34782608695652173,0.10082142828430624,0.6784968684759917,,BX,F,1400,'PELHAM PARKWAY SO',,SEC-408,,BBBBBBB,ALL,ALL,O,,0.0,Gray-Silver,X
