@relation Assign3_Customer_Profiling_Scaled_clustered

@attribute Instance_number numeric
@attribute age numeric
@attribute sex numeric
@attribute income numeric
@attribute married numeric
@attribute children numeric
@attribute car numeric
@attribute save_act numeric
@attribute current_act numeric
@attribute mortgage numeric
@attribute INNER_CITY numeric
@attribute RURAL numeric
@attribute SUBURBAN numeric
@attribute TOWN numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,0.388887,-1,-0.774168,-1.393261,-0.011049,-0.986754,-1.491914,-1.771421,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
1,-0.16617,1,0.198706,0.717741,1.883121,1.013423,-1.491914,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
2,0.597034,-1,-0.849474,0.717741,-0.958135,1.013423,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
3,-1.345667,-1,-0.554643,0.717741,1.883121,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
4,1.013327,-1,1.788562,0.717741,-0.958135,-0.986754,0.67028,-1.771421,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
5,1.013327,-1,0.802684,0.717741,0.936036,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
6,-1.41505,1,-1.446767,-1.393261,-0.958135,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
7,1.082709,1,-0.199976,0.717741,-0.958135,1.013423,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
8,-0.374317,-1,-0.172223,0.717741,0.936036,1.013423,-1.491914,-1.771421,-0.731113,-0.901493,-0.436436,2.945746,-0.636516,cluster2
9,0.80518,1,-0.256964,0.717741,0.936036,1.013423,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
10,1.637766,-1,2.504507,0.717741,-0.958135,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
11,0.666416,-1,-0.067131,-1.393261,-0.958135,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
12,0.111358,-1,-0.914617,0.717741,-0.011049,-0.986754,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
13,1.637766,-1,2.147667,0.717741,-0.011049,1.013423,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
14,-0.443699,1,-0.624533,0.717741,-0.958135,-0.986754,0.67028,0.564519,1.367777,-0.901493,2.291288,-0.339473,-0.636516,cluster2
15,-0.304935,-1,-0.402052,0.717741,-0.958135,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
16,-0.374317,-1,-0.759908,0.717741,0.936036,-0.986754,-1.491914,-1.771421,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
17,0.250123,-1,1.046805,0.717741,-0.958135,-0.986754,0.67028,-1.771421,1.367777,-0.901493,-0.436436,2.945746,-0.636516,cluster2
18,1.360238,-1,-0.047703,0.717741,-0.958135,-0.986754,0.67028,-1.771421,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
19,-0.79061,1,-0.388032,0.717741,-0.958135,1.013423,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
20,1.290856,1,2.355291,0.717741,0.936036,-0.986754,0.67028,-1.771421,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
21,0.527652,1,-0.855534,0.717741,0.936036,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
22,0.80518,1,0.847452,0.717741,-0.958135,-0.986754,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
23,-1.068139,-1,-0.929901,-1.393261,-0.958135,1.013423,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
24,-1.41505,1,-1.154788,-1.393261,0.936036,1.013423,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
25,0.943945,1,1.048201,0.717741,-0.958135,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster3
26,0.180741,1,-0.520947,0.717741,-0.958135,-0.986754,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
27,-0.235553,-1,-0.574924,0.717741,-0.011049,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
28,-0.235553,-1,0.142378,-1.393261,1.883121,1.013423,-1.491914,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster3
29,1.290856,1,-0.252464,0.717741,-0.011049,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster2
30,1.290856,-1,-0.355437,0.717741,0.936036,-0.986754,0.67028,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
31,-1.553814,-1,-0.86884,0.717741,0.936036,-0.986754,0.67028,-1.771421,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
32,0.180741,1,-0.316621,0.717741,-0.011049,1.013423,0.67028,0.564519,-0.731113,-0.901493,-0.436436,2.945746,-0.636516,cluster2
33,-0.651846,-1,0.185998,-1.393261,1.883121,1.013423,0.67028,-1.771421,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
34,0.041976,1,0.775707,-1.393261,-0.958135,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,2.945746,-0.636516,cluster0
35,-1.068139,-1,-0.59401,0.717741,0.936036,-0.986754,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
36,-1.623196,1,-1.285701,0.717741,1.883121,1.013423,0.67028,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster2
37,-0.443699,-1,-1.097319,-1.393261,-0.958135,1.013423,-1.491914,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
38,0.041976,-1,-0.699816,0.717741,-0.958135,1.013423,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
39,1.637766,-1,-0.165457,-1.393261,0.936036,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,-0.436436,2.945746,-0.636516,cluster0
40,0.874562,1,-0.058177,0.717741,-0.958135,-0.986754,-1.491914,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
41,0.319505,-1,-0.044336,0.717741,-0.958135,1.013423,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
42,1.707149,1,2.187376,-1.393261,0.936036,1.013423,0.67028,-1.771421,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
43,-0.721228,-1,0.003683,0.717741,-0.958135,1.013423,-1.491914,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
44,-1.553814,1,-1.069465,-1.393261,0.936036,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster3
45,1.499002,1,1.951053,0.717741,0.936036,-0.986754,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
46,0.527652,-1,-1.104853,-1.393261,-0.011049,1.013423,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
47,-0.929374,1,-1.118609,-1.393261,0.936036,-0.986754,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
48,0.666416,1,0.932891,-1.393261,0.936036,1.013423,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
49,0.319505,-1,-0.749239,0.717741,0.936036,1.013423,0.67028,-1.771421,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
50,-1.276285,1,-1.025264,-1.393261,0.936036,1.013423,0.67028,-1.771421,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
51,-0.443699,1,-0.281582,0.717741,-0.958135,-0.986754,-1.491914,-1.771421,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
52,0.041976,1,-0.873969,0.717741,-0.011049,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
53,0.388887,1,0.176128,-1.393261,-0.011049,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,2.945746,-0.636516,cluster0
54,1.42962,1,2.27474,0.717741,-0.958135,-0.986754,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
55,0.666416,-1,1.575934,-1.393261,1.883121,-0.986754,0.67028,-1.771421,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
56,1.082709,-1,-0.197578,-1.393261,-0.958135,-0.986754,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
57,-0.998757,1,-0.341317,0.717741,-0.958135,-0.986754,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
58,-0.929374,-1,-0.960548,0.717741,-0.958135,-0.986754,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
59,-0.582463,1,-0.169895,-1.393261,-0.011049,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster3
60,-0.027406,-1,-0.214198,0.717741,-0.011049,-0.986754,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
61,1.568384,-1,0.703326,-1.393261,-0.011049,1.013423,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
62,0.319505,1,-0.038905,0.717741,0.936036,-0.986754,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
63,-1.553814,1,-1.227712,0.717741,-0.958135,-0.986754,0.67028,-1.771421,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
64,-1.484432,1,-1.746475,-1.393261,-0.958135,1.013423,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
65,-0.027406,1,-0.786264,0.717741,-0.958135,-0.986754,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
66,-1.623196,1,-1.292839,-1.393261,0.936036,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
67,-0.096788,-1,0.57173,-1.393261,-0.958135,-0.986754,0.67028,0.564519,1.367777,-0.901493,-0.436436,-0.339473,1.571053,cluster1
68,-0.859992,1,-0.630081,-1.393261,0.936036,-0.986754,0.67028,0.564519,-0.731113,-0.901493,-0.436436,-0.339473,1.571053,cluster1
69,-0.79061,-1,-1.325356,0.717741,0.936036,-0.986754,-1.491914,0.564519,-0.731113,-0.901493,2.291288,-0.339473,-0.636516,cluster0
70,-1.206903,1,-1.044257,0.717741,1.883121,1.013423,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
71,-1.484432,1,-1.509949,-1.393261,-0.958135,-0.986754,-1.491914,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster3
72,-0.443699,1,0.345882,0.717741,1.883121,1.013423,0.67028,0.564519,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster3
73,1.082709,-1,-0.335684,0.717741,0.936036,-0.986754,0.67028,-1.771421,1.367777,1.109272,-0.436436,-0.339473,-0.636516,cluster4
74,1.499002,-1,1.951317,-1.393261,0.936036,1.013423,0.67028,0.564519,-0.731113,1.109272,-0.436436,-0.339473,-0.636516,cluster4
